Exposure	Outcome	bxy	se	p	nsnp
KIAA0247_GSMR	BDEP	-0.0120977	0.00734006	0.0993178	6
KIAA0319_GSMR	BDEP	-0.0115645	0.00480779	0.0161562	11
KIAA0319L_GSMR	BDEP	0.0305547	0.0256296	0.233197	1
KIAA0355_GSMR	BDEP	nan	nan	nan	nan
KIAA0368_GSMR	BDEP	nan	nan	nan	nan
KIAA0391_GSMR	BDEP	-0.00450188	0.00311356	0.148207	9
KIAA0430_GSMR	BDEP	nan	nan	nan	nan
KIAA0513_GSMR	BDEP	0.0045732	0.00393665	0.245358	12
KIAA0556_GSMR	BDEP	-0.0295737	0.0176046	0.0929791	1
KIAA0586_GSMR	BDEP	0.0206799	0.0128546	0.107672	1
KIAA0753_GSMR	BDEP	-0.00501329	0.00543243	0.356088	5
KIAA0825_GSMR	BDEP	-0.016182	0.0121256	0.182028	1
KIAA0895_GSMR	BDEP	-0.00484751	0.0304167	0.873378	1
KIAA0907_GSMR	BDEP	-0.00342558	0.0357537	0.923671	1
KIAA0922_GSMR	BDEP	0.00759023	0.0120275	0.527994	5
KIAA0930_GSMR	BDEP	0.0266186	0.00617849	1.64536e-05	6
KIAA1009_GSMR	BDEP	0.00589946	0.0232968	0.80009	1
KIAA1024_GSMR	BDEP	-0.00515463	0.00497079	0.299743	9
KIAA1033_GSMR	BDEP	0.00511655	0.00761182	0.501466	7
KIAA1045_GSMR	BDEP	-0.0240728	0.0206453	0.243607	1
KIAA1109_GSMR	BDEP	nan	nan	nan	nan
KIAA1143_GSMR	BDEP	0.0304019	0.00588678	2.41165e-07	9
KIAA1147_GSMR	BDEP	-0.00800552	0.0197661	0.685468	1
KIAA1191_GSMR	BDEP	-0.00401046	0.00944859	0.671237	3
KIAA1199_GSMR	BDEP	-0.0382647	0.0264958	0.148689	1
KIAA1211L_GSMR	BDEP	0.0549354	0.0269764	0.0417081	1
KIAA1257_GSMR	BDEP	-0.0372241	0.0298833	0.212893	1
KIAA1279_GSMR	BDEP	-0.00663416	0.0154157	0.66694	1
KIAA1324_GSMR	BDEP	0.000903556	0.00197964	0.648086	18
KIAA1324L_GSMR	BDEP	0.00403476	0.00579485	0.486262	7
KIAA1328_GSMR	BDEP	-0.00503411	0.0076526	0.510647	5
KIAA1377_GSMR	BDEP	nan	nan	nan	nan
KIAA1407_GSMR	BDEP	nan	nan	nan	nan
KIAA1429_GSMR	BDEP	nan	nan	nan	nan
KIAA1430_GSMR	BDEP	0.00236713	0.00499062	0.635275	6
KIAA1432_GSMR	BDEP	nan	nan	nan	nan
KIAA1467_GSMR	BDEP	nan	nan	nan	nan
KIAA1468_GSMR	BDEP	0.0109046	0.0054047	0.0436309	9
KIAA1522_GSMR	BDEP	0.00175959	0.00956061	0.853978	3
KIAA1524_GSMR	BDEP	-0.00247849	0.00718446	0.730109	9
KIAA1551_GSMR	BDEP	0.00343158	0.00380595	0.367251	23
KIAA1586_GSMR	BDEP	0.0161511	0.0101625	0.111997	1
KIAA1598_GSMR	BDEP	0.00297095	0.00201341	0.140056	14
KIAA1609_GSMR	BDEP	0.000692677	0.00531037	0.896219	6
KIAA1671_GSMR	BDEP	0.00428494	0.00306142	0.161617	5
KIAA1683_GSMR	BDEP	-0.00400236	0.00301947	0.185	12
KIAA1715_GSMR	BDEP	-0.0120203	0.00634948	0.0583421	9
KIAA1737_GSMR	BDEP	-0.00120749	0.00296454	0.683779	10
KIAA1841_GSMR	BDEP	0.00662712	0.00306452	0.030577	11
KIAA1875_GSMR	BDEP	nan	nan	nan	nan
KIAA1919_GSMR	BDEP	0.0149978	0.00951286	0.114891	6
KIAA1958_GSMR	BDEP	-0.0413646	0.0349727	0.236901	1
KIAA1967_GSMR	BDEP	-0.00310541	0.00653959	0.634884	3
KIAA2013_GSMR	BDEP	-0.00157621	0.00233214	0.499126	8
KIAA2018_GSMR	BDEP	nan	nan	nan	nan
KIAA2026_GSMR	BDEP	0.0164312	0.0114559	0.151487	3
KIDINS220_GSMR	BDEP	nan	nan	nan	nan
KIF11_GSMR	BDEP	nan	nan	nan	nan
KIF13A_GSMR	BDEP	-0.0161912	0.00949139	0.0880309	3
KIF13B_GSMR	BDEP	nan	nan	nan	nan
KIF16B_GSMR	BDEP	0.000256555	0.00241658	0.915452	16
KIF17_GSMR	BDEP	0.0474921	0.0317747	0.135006	1
KIF19_GSMR	BDEP	nan	nan	nan	nan
KIF1B_GSMR	BDEP	-0.000268743	0.002644	0.91904	10
KIF1C_GSMR	BDEP	0.0198256	0.0142026	0.162741	3
KIF20B_GSMR	BDEP	-0.0095164	0.00825324	0.24889	5
KIF21B_GSMR	BDEP	nan	nan	nan	nan
KIF23_GSMR	BDEP	0.011901	0.0384665	0.757029	1
KIF24_GSMR	BDEP	nan	nan	nan	nan
KIF25-AS1_GSMR	BDEP	0.00295756	0.00810313	0.715119	3
KIF26A_GSMR	BDEP	nan	nan	nan	nan
KIF26B_GSMR	BDEP	nan	nan	nan	nan
KIF27_GSMR	BDEP	nan	nan	nan	nan
KIF2A_GSMR	BDEP	0.0606728	0.0138114	1.1182e-05	1
KIF3A_GSMR	BDEP	nan	nan	nan	nan
KIF3B_GSMR	BDEP	0.0455213	0.0345235	0.187316	1
KIF3C_GSMR	BDEP	0.066737	0.0395355	0.0914061	1
KIF5B_GSMR	BDEP	nan	nan	nan	nan
KIF5C_GSMR	BDEP	0.00608737	0.0165058	0.712276	1
KIFAP3_GSMR	BDEP	-0.00490057	0.0135528	0.717657	3
KIFC2_GSMR	BDEP	nan	nan	nan	nan
KIN_GSMR	BDEP	0.0116908	0.0242326	0.629493	1
KIR2DL1_GSMR	BDEP	nan	nan	nan	nan
KIR2DL3_GSMR	BDEP	nan	nan	nan	nan
KIR2DS4_GSMR	BDEP	-0.000142054	0.00205454	0.944877	11
KIR3DL1_GSMR	BDEP	nan	nan	nan	nan
KIR3DL2_GSMR	BDEP	-0.00309205	0.00351236	0.378679	5
KIR3DX1_GSMR	BDEP	nan	nan	nan	nan
KIRREL3_GSMR	BDEP	nan	nan	nan	nan
KLB_GSMR	BDEP	-0.0144462	0.0336579	0.667774	1
KLC1_GSMR	BDEP	0.0172805	0.00495819	0.000491684	8
KLC2_GSMR	BDEP	0.0184711	0.0247422	0.455342	1
KLC3_GSMR	BDEP	nan	nan	nan	nan
KLC4_GSMR	BDEP	0.00835195	0.0167967	0.619022	1
KLF10_GSMR	BDEP	nan	nan	nan	nan
KLF11_GSMR	BDEP	-0.00595132	0.00594373	0.316692	7
KLF12_GSMR	BDEP	nan	nan	nan	nan
KLF13_GSMR	BDEP	-0.0277919	0.0160782	0.08389	1
KLF1_GSMR	BDEP	-0.0213405	0.0352788	0.545239	1
KLF2_GSMR	BDEP	-0.0124357	0.0192144	0.517498	1
KLF3_GSMR	BDEP	-0.00528611	0.0311414	0.865211	1
KLF5_GSMR	BDEP	nan	nan	nan	nan
KLF6_GSMR	BDEP	0.0354458	0.0315163	0.260724	1
KLF7_GSMR	BDEP	0.0213878	0.0230682	0.353847	2
KLF9_GSMR	BDEP	0.00759021	0.010555	0.472075	3
KL_GSMR	BDEP	0.0128144	0.00680411	0.0596555	9
KLHDC10_GSMR	BDEP	0.00113288	0.00467291	0.808443	6
KLHDC1_GSMR	BDEP	0.0514912	0.0273985	0.0601976	1
KLHDC3_GSMR	BDEP	-0.0654551	0.0240017	0.00638938	1
KLHDC4_GSMR	BDEP	0.00236917	0.00284885	0.405621	15
KLHDC7A_GSMR	BDEP	nan	nan	nan	nan
KLHDC7B_GSMR	BDEP	nan	nan	nan	nan
KLHDC8A_GSMR	BDEP	nan	nan	nan	nan
KLHDC8B_GSMR	BDEP	0.00114504	0.00707851	0.871493	5
KLHDC9_GSMR	BDEP	0.0125507	0.0180153	0.486011	1
KLHL11_GSMR	BDEP	0.0209004	0.0183479	0.254654	1
KLHL12_GSMR	BDEP	0.00758353	0.00755441	0.315448	6
KLHL18_GSMR	BDEP	0.0231093	0.0189465	0.222573	1
KLHL20_GSMR	BDEP	nan	nan	nan	nan
KLHL21_GSMR	BDEP	0.0116556	0.0367439	0.751083	1
KLHL22_GSMR	BDEP	0.00109847	0.0182049	0.951886	1
KLHL23_GSMR	BDEP	-0.0344789	0.0179337	0.0545335	1
KLHL24_GSMR	BDEP	0.000751989	0.00381992	0.843937	7
KLHL25_GSMR	BDEP	0.000541977	0.0315527	0.986295	1
KLHL26_GSMR	BDEP	0.0170901	0.0274574	0.533663	1
KLHL29_GSMR	BDEP	0.00864526	0.0197735	0.661955	1
KLHL2_GSMR	BDEP	-0.00217813	0.0164269	0.894513	3
KLHL30_GSMR	BDEP	nan	nan	nan	nan
KLHL31_GSMR	BDEP	-0.014712	0.0370524	0.691324	1
KLHL32_GSMR	BDEP	-0.0383678	0.029562	0.194331	1
KLHL33_GSMR	BDEP	-0.001128	0.0285588	0.968494	1
KLHL35_GSMR	BDEP	0.00208032	0.00541366	0.700777	7
KLHL36_GSMR	BDEP	0.000159184	0.00421753	0.969892	3
KLHL3_GSMR	BDEP	0.0107656	0.00665355	0.105659	9
KLHL42_GSMR	BDEP	0.0123295	0.00637856	0.0532418	3
KLHL5_GSMR	BDEP	-0.00450236	0.00377234	0.232666	19
KLHL6_GSMR	BDEP	0.010399	0.00850111	0.221233	5
KLHL7-AS1_GSMR	BDEP	0.00129109	0.00197144	0.512532	16
KLHL7_GSMR	BDEP	nan	nan	nan	nan
KLHL8_GSMR	BDEP	-0.0108263	0.00860523	0.208353	5
KLHL9_GSMR	BDEP	0.00275999	0.0049025	0.573451	9
KLK1_GSMR	BDEP	nan	nan	nan	nan
KLKB1_GSMR	BDEP	-0.00165803	0.00323587	0.608378	12
KLRAP1_GSMR	BDEP	-0.00531093	0.00537174	0.32282	7
KLRC1_GSMR	BDEP	0.00367501	0.00388185	0.343783	11
KLRC2_GSMR	BDEP	0.000646708	0.00321532	0.840594	8
KLRC3_GSMR	BDEP	0.00403091	0.00360244	0.263166	11
KLRC4_GSMR	BDEP	nan	nan	nan	nan
KLRD1_GSMR	BDEP	nan	nan	nan	nan
KLRF1_GSMR	BDEP	0.0369898	0.0345102	0.283787	1
KLRG1_GSMR	BDEP	0.0100476	0.0358521	0.779284	1
KLRK1_GSMR	BDEP	nan	nan	nan	nan
KMO_GSMR	BDEP	nan	nan	nan	nan
KNDC1_GSMR	BDEP	nan	nan	nan	nan
KNSTRN_GSMR	BDEP	-0.00893005	0.00265811	0.000780702	9
KNTC1_GSMR	BDEP	nan	nan	nan	nan
KPNA1_GSMR	BDEP	0.0128195	0.00858496	0.135372	8
KPNA2_GSMR	BDEP	-0.0685168	0.0346326	0.0478846	1
KPNA3_GSMR	BDEP	-0.000726815	0.014795	0.960819	5
KPNA4_GSMR	BDEP	-0.0156783	0.0131213	0.232136	1
KPNA5_GSMR	BDEP	nan	nan	nan	nan
KPNA6_GSMR	BDEP	0.0102202	0.0176219	0.561932	1
KPNB1_GSMR	BDEP	0.0463277	0.0239708	0.0532761	1
KPTN_GSMR	BDEP	-0.0236977	0.0271028	0.38192	1
KRAS_GSMR	BDEP	nan	nan	nan	nan
KRBA1_GSMR	BDEP	-0.00873113	0.00880629	0.321458	3
KRBA2_GSMR	BDEP	nan	nan	nan	nan
KRCC1_GSMR	BDEP	-0.00590161	0.0131004	0.652357	1
KREMEN1_GSMR	BDEP	-0.00788552	0.00522387	0.131167	7
KREMEN2_GSMR	BDEP	-0.0328797	0.0306281	0.28304	1
KRI1_GSMR	BDEP	0.00392019	0.00820162	0.632666	3
KRIT1_GSMR	BDEP	-0.0214712	0.0115095	0.0621082	3
KRR1_GSMR	BDEP	-0.0125268	0.0184159	0.496368	1
KRT10_GSMR	BDEP	nan	nan	nan	nan
KRT17P1_GSMR	BDEP	0.00421145	0.0080194	0.599473	1
KRT17P2_GSMR	BDEP	-0.00826885	0.00333903	0.0132706	5
KRT18_GSMR	BDEP	nan	nan	nan	nan
KRT18P34_GSMR	BDEP	-0.0157899	0.014223	0.266928	1
KRT18P8_GSMR	BDEP	0.00199769	0.00368708	0.587951	3
KRT1_GSMR	BDEP	0.00241629	0.00200392	0.227901	23
KRT222_GSMR	BDEP	nan	nan	nan	nan
KRT23_GSMR	BDEP	-0.00169065	0.00284001	0.551645	16
KRT2_GSMR	BDEP	0.00168206	0.0121938	0.890285	3
KRT36_GSMR	BDEP	0.0328589	0.0196865	0.0950952	1
KRT5_GSMR	BDEP	-0.00897381	0.00837124	0.283729	5
KRT72_GSMR	BDEP	0.00175551	0.00217847	0.420333	24
KRT73_GSMR	BDEP	0.00111131	0.00230833	0.630206	20
KRT74_GSMR	BDEP	0.0027729	0.00690371	0.687938	7
KRT77_GSMR	BDEP	0.0112364	0.00506971	0.0266653	8
KRT79_GSMR	BDEP	nan	nan	nan	nan
KRT7_GSMR	BDEP	-0.0626884	0.0265724	0.0183166	1
KRT81_GSMR	BDEP	nan	nan	nan	nan
KRT86_GSMR	BDEP	-0.00648446	0.00712707	0.362909	6
KRT8P12_GSMR	BDEP	-0.00422188	0.00400638	0.29198	3
KRT8P26_GSMR	BDEP	0.000595899	0.0102636	0.953701	1
KRT8P33_GSMR	BDEP	-0.000725612	0.00474051	0.878346	3
KRT8P42_GSMR	BDEP	0.0165552	0.0118768	0.163344	1
KRT8P43_GSMR	BDEP	-0.0284537	0.0138997	0.0406512	1
KRT8P46_GSMR	BDEP	nan	nan	nan	nan
KRTAP29-1_GSMR	BDEP	-0.0127723	0.00993327	0.19851	1
KRTCAP2_GSMR	BDEP	-0.0114509	0.0258674	0.658	1
KRTCAP3_GSMR	BDEP	-0.000817891	0.00408205	0.841197	6
KSR1_GSMR	BDEP	0.00286421	0.00454428	0.528505	6
KTI12_GSMR	BDEP	nan	nan	nan	nan
KTN1-AS1_GSMR	BDEP	nan	nan	nan	nan
KTN1_GSMR	BDEP	0.00326264	0.00460174	0.478323	6
KXD1_GSMR	BDEP	nan	nan	nan	nan
KY_GSMR	BDEP	0.0102258	0.0131038	0.435174	1
KYNU_GSMR	BDEP	-0.00604763	0.0040765	0.137932	4
L1TD1_GSMR	BDEP	-0.000106357	0.00436849	0.980576	8
L3HYPDH_GSMR	BDEP	0.00857814	0.00558816	0.12477	9
L3MBTL1_GSMR	BDEP	0.0084887	0.0337527	0.80143	1
L3MBTL2_GSMR	BDEP	0.0111717	0.00572703	0.051094	7
L3MBTL3_GSMR	BDEP	-0.00161621	0.00259155	0.53286	24
L3MBTL4_GSMR	BDEP	0.000530434	0.0107225	0.960545	1
LA16c-321D4.2_GSMR	BDEP	-0.00589331	0.00594029	0.321153	1
LA16c-380H5.2_GSMR	BDEP	-0.0379039	0.0130059	0.00356417	1
LA16c-390E6.4_GSMR	BDEP	0.000660658	0.00377305	0.861002	3
LA16c-390H2.4_GSMR	BDEP	0.00934459	0.0113896	0.411959	1
LA16c-OS12.2_GSMR	BDEP	nan	nan	nan	nan
LACC1_GSMR	BDEP	-0.0239279	0.0275043	0.384318	1
LACE1_GSMR	BDEP	0.0519243	0.038625	0.178845	1
LACTB2_GSMR	BDEP	-0.00829273	0.00442775	0.0610823	8
LACTB_GSMR	BDEP	-0.00211258	0.01044	0.839639	3
LAG3_GSMR	BDEP	-0.0461284	0.0350627	0.18831	1
LAIR1_GSMR	BDEP	0.00350612	0.00961188	0.715283	3
LAIR2_GSMR	BDEP	0.00817824	0.00666529	0.219827	5
LAMA2_GSMR	BDEP	nan	nan	nan	nan
LAMA5_GSMR	BDEP	nan	nan	nan	nan
LAMB2_GSMR	BDEP	0.0665327	0.0172259	0.000112291	3
LAMB3_GSMR	BDEP	nan	nan	nan	nan
LAMC1_GSMR	BDEP	-0.00575509	0.00281791	0.0411194	15
LAMC3_GSMR	BDEP	0.00296198	0.00478189	0.535643	5
LAMP3_GSMR	BDEP	-0.00341311	0.0113938	0.764515	5
LAMP5_GSMR	BDEP	-0.00403556	0.00437144	0.355921	9
LAMTOR1_GSMR	BDEP	nan	nan	nan	nan
LAMTOR2_GSMR	BDEP	-0.0312919	0.0273254	0.252143	1
LAMTOR3_GSMR	BDEP	nan	nan	nan	nan
LAMTOR4_GSMR	BDEP	nan	nan	nan	nan
LAMTOR5_GSMR	BDEP	nan	nan	nan	nan
LANCL1_GSMR	BDEP	nan	nan	nan	nan
LANCL2_GSMR	BDEP	nan	nan	nan	nan
LAP3_GSMR	BDEP	2.52009e-06	0.00236601	0.99915	16
LAPTM4A_GSMR	BDEP	nan	nan	nan	nan
LAPTM4B_GSMR	BDEP	0.000466182	0.00331108	0.888032	13
LAPTM5_GSMR	BDEP	0.00619325	0.00497525	0.213201	7
LARGE_GSMR	BDEP	0.00577976	0.00673669	0.390919	8
LARP1B_GSMR	BDEP	nan	nan	nan	nan
LARP1_GSMR	BDEP	0.00127565	0.00625836	0.838486	7
LARP4B_GSMR	BDEP	nan	nan	nan	nan
LARP7_GSMR	BDEP	nan	nan	nan	nan
LARS2_GSMR	BDEP	-0.00087735	0.00546948	0.872559	5
LASP1_GSMR	BDEP	0.0286986	0.015833	0.0698955	3
LAT2_GSMR	BDEP	-0.001446	0.00978759	0.882549	3
LATS2_GSMR	BDEP	nan	nan	nan	nan
LAX1_GSMR	BDEP	-0.000420058	0.00316538	0.894428	6
LBH_GSMR	BDEP	0.00931786	0.00490754	0.0576061	10
LBR_GSMR	BDEP	0.0145118	0.0277737	0.60132	1
LBX2_GSMR	BDEP	nan	nan	nan	nan
LCA5L_GSMR	BDEP	0.0134041	0.00603995	0.0264708	8
LCAT_GSMR	BDEP	nan	nan	nan	nan
LCLAT1_GSMR	BDEP	-0.00369262	0.00201395	0.0667258	18
LCMT1_GSMR	BDEP	nan	nan	nan	nan
LCMT2_GSMR	BDEP	-0.00463306	0.00378659	0.221124	8
LCN2_GSMR	BDEP	-0.0058969	0.00940026	0.530454	1
LCN8_GSMR	BDEP	-0.000187185	0.00307929	0.951528	1
LCP1_GSMR	BDEP	0.010426	0.00898025	0.245644	5
LCP2_GSMR	BDEP	nan	nan	nan	nan
LDB1_GSMR	BDEP	0.0265266	0.0151991	0.0809373	1
LDB2_GSMR	BDEP	nan	nan	nan	nan
LDHA_GSMR	BDEP	nan	nan	nan	nan
LDHAL6A_GSMR	BDEP	0.0264802	0.0298556	0.375108	1
LDHB_GSMR	BDEP	-0.0257869	0.0240932	0.284486	1
LDHC_GSMR	BDEP	0.000759855	0.00302547	0.801696	15
LDHD_GSMR	BDEP	0.0177422	0.0148758	0.23299	3
LDLRAD3_GSMR	BDEP	nan	nan	nan	nan
LDLRAD4_GSMR	BDEP	-0.0114142	0.00753906	0.130023	5
LDLRAP1_GSMR	BDEP	0.000556275	0.00286041	0.845805	13
LDLR_GSMR	BDEP	-0.0436807	0.0281942	0.121314	1
LDOC1L_GSMR	BDEP	-0.00129523	0.00319726	0.685399	10
LEAP2_GSMR	BDEP	-0.0501133	0.0174018	0.00397952	1
LEF1-AS1_GSMR	BDEP	nan	nan	nan	nan
LEFTY1_GSMR	BDEP	0.0110267	0.026732	0.67998	1
LEMD2_GSMR	BDEP	-0.0100934	0.00637447	0.113327	6
LEMD3_GSMR	BDEP	-0.00427134	0.00412441	0.300378	9
LENG8-AS1_GSMR	BDEP	nan	nan	nan	nan
LEP_GSMR	BDEP	nan	nan	nan	nan
LEPRE1_GSMR	BDEP	-0.00483814	0.00671561	0.471259	6
LEPREL1_GSMR	BDEP	0.0310245	0.011149	0.00539057	5
LEPREL2_GSMR	BDEP	4.94654e-05	0.0324891	0.998785	1
LEPREL4_GSMR	BDEP	nan	nan	nan	nan
LEPR_GSMR	BDEP	0.00392466	0.00298832	0.18907	13
LEPROT_GSMR	BDEP	0.00442303	0.0025126	0.0783501	21
LEPROTL1_GSMR	BDEP	0.00274402	0.00601157	0.648061	3
LETMD1_GSMR	BDEP	nan	nan	nan	nan
LFNG_GSMR	BDEP	nan	nan	nan	nan
LGALS12_GSMR	BDEP	0.00849068	0.00881735	0.335572	8
LGALS17A_GSMR	BDEP	nan	nan	nan	nan
LGALS1_GSMR	BDEP	-0.00909362	0.0047984	0.0580745	3
LGALS2_GSMR	BDEP	-0.000287372	0.00223161	0.897537	14
LGALS3BP_GSMR	BDEP	0.0106506	0.0113823	0.349417	5
LGALS3_GSMR	BDEP	0.0511293	0.0299448	0.087738	1
LGALS4_GSMR	BDEP	0.000191116	0.00921367	0.983451	3
LGALS8_GSMR	BDEP	-0.00496774	0.0036853	0.177663	7
LGALS9B_GSMR	BDEP	-0.00462767	0.00212397	0.029348	8
LGALS9C_GSMR	BDEP	-0.00330029	0.00210588	0.117072	6
LGALS9_GSMR	BDEP	-0.000492874	0.00268643	0.854431	13
LGALSL_GSMR	BDEP	0.00183554	0.004605	0.690191	5
LGI2_GSMR	BDEP	-0.00473212	0.0141282	0.737669	1
LGMN_GSMR	BDEP	nan	nan	nan	nan
LGR4_GSMR	BDEP	nan	nan	nan	nan
LGR6_GSMR	BDEP	0.00388521	0.00687394	0.571932	5
LGSN_GSMR	BDEP	0.0091666	0.00456396	0.0445929	6
LHFP_GSMR	BDEP	nan	nan	nan	nan
LHFPL2_GSMR	BDEP	-0.0130584	0.00728453	0.0730345	5
LHPP_GSMR	BDEP	-0.0061365	0.00365477	0.0931441	13
LHX4_GSMR	BDEP	0.0371724	0.0278512	0.181982	1
LIAS_GSMR	BDEP	-0.0106369	0.00435671	0.014626	7
LIG1_GSMR	BDEP	0.0172598	0.00634998	0.00656601	7
LIG3_GSMR	BDEP	-0.0040872	0.00328584	0.213543	11
LILRA1_GSMR	BDEP	nan	nan	nan	nan
LILRA2_GSMR	BDEP	0.00162327	0.00349004	0.64185	3
LILRA3_GSMR	BDEP	0.00059639	0.00188599	0.751835	5
LILRA4_GSMR	BDEP	0.00134475	0.0158189	0.932254	3
LILRA5_GSMR	BDEP	-0.000318408	0.00737002	0.96554	3
LILRA6_GSMR	BDEP	0.00979525	0.00945504	0.300211	1
LILRB1_GSMR	BDEP	-0.00268368	0.00385931	0.486818	6
LILRB2_GSMR	BDEP	-0.0101297	0.00670963	0.131114	3
LILRB3_GSMR	BDEP	nan	nan	nan	nan
LILRB4_GSMR	BDEP	0.00193542	0.00462101	0.675339	9
LILRB5_GSMR	BDEP	nan	nan	nan	nan
LILRP1_GSMR	BDEP	0.00147398	0.00272247	0.588224	3
LIM2_GSMR	BDEP	-0.0037785	0.0143971	0.792975	1
LIMA1_GSMR	BDEP	-0.00654164	0.00487284	0.179444	9
LIMCH1_GSMR	BDEP	-0.0012435	0.0108016	0.908348	3
LIMD1-AS1_GSMR	BDEP	-0.00778722	0.0168111	0.643208	1
LIMD1_GSMR	BDEP	-0.00144293	0.00808791	0.858404	3
LIMD2_GSMR	BDEP	-0.00842294	0.0165531	0.610861	1
LIMK1_GSMR	BDEP	0.0062298	0.00326816	0.056623	3
LIMK2_GSMR	BDEP	-0.00447343	0.0306644	0.884013	1
LIMS2_GSMR	BDEP	0.000437127	0.00387726	0.910236	10
LIN37_GSMR	BDEP	-0.00429566	0.00790295	0.58675	1
LIN52_GSMR	BDEP	0.00761519	0.00663302	0.250939	3
LIN54_GSMR	BDEP	0.0179665	0.0114312	0.116019	1
LIN7A_GSMR	BDEP	-0.0162047	0.00558085	0.00368864	8
LIN7B_GSMR	BDEP	nan	nan	nan	nan
LIN7C_GSMR	BDEP	0.00589492	0.0138132	0.669553	1
LIN9_GSMR	BDEP	nan	nan	nan	nan
LINC00035_GSMR	BDEP	-0.00607382	0.00583167	0.297633	1
LINC00085_GSMR	BDEP	0.00571978	0.00895618	0.523057	5
LINC00092_GSMR	BDEP	-0.00944319	0.00979813	0.335159	3
LINC00094_GSMR	BDEP	nan	nan	nan	nan
LINC00116_GSMR	BDEP	nan	nan	nan	nan
LINC00152_GSMR	BDEP	0.0305124	0.0172771	0.0773851	1
LINC00173_GSMR	BDEP	0.00938876	0.0101567	0.355281	1
LINC00174_GSMR	BDEP	-0.0113441	0.00443726	0.0105716	6
LINC00176_GSMR	BDEP	-0.00771805	0.00385466	0.0452563	3
LINC00189_GSMR	BDEP	0.000514748	0.00550798	0.925542	5
LINC00200_GSMR	BDEP	nan	nan	nan	nan
LINC00202-1_GSMR	BDEP	0.00328579	0.0150793	0.827506	1
LINC00205_GSMR	BDEP	nan	nan	nan	nan
LINC00211_GSMR	BDEP	0.00220185	0.00238629	0.356159	7
LINC00222_GSMR	BDEP	0.00347856	0.0104471	0.739157	1
LINC00243_GSMR	BDEP	-0.0184135	0.00253235	3.56004e-13	7
LINC00264_GSMR	BDEP	nan	nan	nan	nan
LINC00265_GSMR	BDEP	-0.00182413	0.00272303	0.502929	10
LINC00299_GSMR	BDEP	0.00399919	0.024111	0.868263	1
LINC00304_GSMR	BDEP	0.0346217	0.0187011	0.0641234	1
LINC00310_GSMR	BDEP	-0.00142189	0.0117855	0.90397	1
LINC00324_GSMR	BDEP	0.00857578	0.00311097	0.00584015	9
LINC00334_GSMR	BDEP	-0.0324515	0.0181636	0.0739982	1
LINC00338_GSMR	BDEP	-0.00243851	0.00677982	0.719093	5
LINC00339_GSMR	BDEP	-0.00119364	0.00206218	0.562708	23
LINC00341_GSMR	BDEP	-0.00964461	0.00521535	0.0644181	10
LINC00342_GSMR	BDEP	-0.0098731	0.00513867	0.0546895	1
LINC00398_GSMR	BDEP	nan	nan	nan	nan
LINC00402_GSMR	BDEP	-0.00185718	0.0054396	0.732788	5
LINC00422_GSMR	BDEP	0.00139065	0.00384403	0.717524	5
LINC00426_GSMR	BDEP	0.00176264	0.0033617	0.600048	10
LINC00467_GSMR	BDEP	-0.00727934	0.00614256	0.235991	8
LINC00470_GSMR	BDEP	-0.0682029	0.032835	0.0377887	1
LINC00476_GSMR	BDEP	-0.00115521	0.00240368	0.630801	11
LINC00482_GSMR	BDEP	-0.00397741	0.00798935	0.618597	1
LINC00484_GSMR	BDEP	0.00788664	0.0115662	0.495323	1
LINC00487_GSMR	BDEP	-0.0050869	0.0132261	0.700526	1
LINC00493_GSMR	BDEP	nan	nan	nan	nan
LINC00494_GSMR	BDEP	nan	nan	nan	nan
LINC00511_GSMR	BDEP	0.00348982	0.00327117	0.286043	3
LINC00514_GSMR	BDEP	0.0116719	0.0108842	0.283553	1
LINC00525_GSMR	BDEP	0.00237495	0.0105716	0.822248	5
LINC00526_GSMR	BDEP	nan	nan	nan	nan
LINC00528_GSMR	BDEP	-0.00426994	0.0127603	0.737906	1
LINC00534_GSMR	BDEP	0.0137092	0.00722895	0.0579037	1
LINC00539_GSMR	BDEP	0.00550415	0.0104931	0.599898	1
LINC00544_GSMR	BDEP	-0.00688252	0.0188549	0.715092	1
LINC00562_GSMR	BDEP	nan	nan	nan	nan
LINC00563_GSMR	BDEP	-0.0167751	0.0348664	0.630428	1
LINC00565_GSMR	BDEP	nan	nan	nan	nan
LINC00593_GSMR	BDEP	0.00460182	0.0127241	0.717604	1
LINC00617_GSMR	BDEP	nan	nan	nan	nan
LINC00622_GSMR	BDEP	-0.016676	0.0145109	0.250472	1
LINC00638_GSMR	BDEP	0.000425638	0.00311629	0.891359	5
LINC00639_GSMR	BDEP	-0.00858168	0.00284478	0.00255588	8
LINC00641_GSMR	BDEP	nan	nan	nan	nan
LINC00649_GSMR	BDEP	0.00267716	0.00302111	0.375535	15
LINC00654_GSMR	BDEP	0.0121887	0.0103141	0.237305	3
LINC00656_GSMR	BDEP	-0.0498852	0.0335501	0.137045	1
LINC00662_GSMR	BDEP	nan	nan	nan	nan
LINC00663_GSMR	BDEP	-0.0190536	0.0135456	0.159538	3
LINC00665_GSMR	BDEP	0.00435737	0.00282366	0.122791	5
LINC00667_GSMR	BDEP	-0.00309151	0.00202779	0.127366	5
LINC00672_GSMR	BDEP	nan	nan	nan	nan
LINC00674_GSMR	BDEP	0.017844	0.0150422	0.235518	1
